Date,Day,Rounds Played
1/1/22,Saturday,61
1/2/22,Sunday,6
1/3/22,Monday,9
1/4/22,Tuesday,18
1/5/22,Wednesday,39
1/6/22,Thursday,56
1/7/22,Friday,49
1/8/22,Saturday,113
1/9/22,Sunday,98
1/10/22,Monday,18
1/11/22,Tuesday,34
1/12/22,Wednesday,42
1/13/22,Thursday,84
1/14/22,Friday,112
1/15/22,Saturday,84
1/16/22,Sunday,28
1/17/22,Monday,102
1/18/22,Tuesday,61
1/19/22,Wednesday,115
1/20/22,Thursday,2
1/21/22,Friday,0
1/22/22,Saturday,66
1/23/22,Sunday,62
1/24/22,Monday,32
1/25/22,Tuesday,0
1/26/22,Wednesday,61
1/27/22,Thursday,80
1/28/22,Friday,63
1/29/22,Saturday,69
1/30/22,Sunday,125
1/31/22,Monday,78
2/1/22,Tuesday,66
2/2/22,Wednesday,0
2/3/22,Thursday,2
2/4/22,Friday,19
2/5/22,Saturday,49
2/6/22,Sunday,122
2/7/22,Monday,29
2/8/22,Tuesday,55
2/9/22,Wednesday,82
2/10/22,Thursday,78
2/11/22,Friday,136
2/12/22,Saturday,187
2/13/22,Sunday,69
2/14/22,Monday,47
2/15/22,Tuesday,101
2/16/22,Wednesday,70
2/17/22,Thursday,27
2/18/22,Friday,61
2/19/22,Saturday,97
2/20/22,Sunday,115
2/21/22,Monday,104
2/22/22,Tuesday,92
2/23/22,Wednesday,76
2/24/22,Thursday,73
2/25/22,Friday,66
2/26/22,Saturday,65
2/27/22,Sunday,18
2/28/22,Monday,52
3/1/22,Tuesday,0
3/2/22,Wednesday,77
3/3/22,Thursday,96
3/4/22,Friday,145
3/5/22,Saturday,161
3/6/22,Sunday,159
3/7/22,Monday,57
3/8/22,Tuesday,51
3/9/22,Wednesday,1
3/10/22,Thursday,112
3/11/22,Friday,60
3/12/22,Saturday,68
3/13/22,Sunday,175
3/14/22,Monday,81
3/15/22,Tuesday,59
3/16/22,Wednesday,106
3/17/22,Thursday,130
3/18/22,Friday,96
3/19/22,Saturday,154
3/20/22,Sunday,184
3/21/22,Monday,103
3/22/22,Tuesday,16
3/23/22,Wednesday,58
3/24/22,Thursday,133
3/25/22,Friday,209
3/26/22,Saturday,137
3/27/22,Sunday,158
3/28/22,Monday,68
3/29/22,Tuesday,98
3/30/22,Wednesday,18
3/31/22,Thursday,110
4/1/22,Friday,195
4/2/22,Saturday,83
4/3/22,Sunday,200
4/4/22,Monday,93
4/5/22,Tuesday,54
4/6/22,Wednesday,113
4/7/22,Thursday,115
4/8/22,Friday,176
4/9/22,Saturday,197
4/10/22,Sunday,153
4/11/22,Monday,51
4/12/22,Tuesday,92
4/13/22,Wednesday,65
4/14/22,Thursday,96
4/15/22,Friday,208
4/16/22,Saturday,204
4/17/22,Sunday,80
4/18/22,Monday,109
4/19/22,Tuesday,122
4/20/22,Wednesday,112
4/21/22,Thursday,146
4/22/22,Friday,40
4/23/22,Saturday,149
4/24/22,Sunday,157
4/25/22,Monday,98
4/26/22,Tuesday,76
4/27/22,Wednesday,158
4/28/22,Thursday,156
4/29/22,Friday,189
4/30/22,Saturday,169
5/1/22,Sunday,98
5/2/22,Monday,67
